	narrator	Adam	male	Story narrator
	*Tusayan Indians	Fable	*male	5. Indigenous people who inhabit Tusayan region and whose ancestors may have migrated from the Verde valley ruins
	*Unknown reptile	Echo	*male	2. An animal, likely male based on common naming conventions
	*Verde valley	Lewis	*male	2. A geographical location, likely named after a male figure
	*Walpi	Michael	*male	4. Hopi village whose traditionists claim ancestors came from Palatkwabi | 5. Hopi pueblo where old priests shared knowledge of legendary places like Montezuma Well
	*War god	Puck	*male	2. A deity associated with warfare, male
	*Wood's ranch	Psi	*male	2. A geographical location, likely named after a male figure | 5. Ranch in Verde valley where pictographs were found
	*Zuñi Indians	Omega	*male	5. Indigenous people who may have received ancestral immigrants from the southern cliff dwellers and share cultural similarities with Hopi
	*Apache	Dora	*female	4. Nomadic people who drove Hopi ancestors out of their ancestral lands
	*Archaeological researchers	River	*female	4. People who study ancient ruins and cultures
	*Casa Grande	Alpha	*female	4. Ruins that are ascribed to Hopi people according to the text
	*Cibolan	Xiaobei	*female	4. Archaeological cultural group whose ruins are found in the region between Gila and Salt rivers
	*Cibolan series	Kore	*female	4. Archaeological cultural group whose ruins are found near Saint Johns, Arizona
	*Cliff villagers	Alpha	*female	4. Ancient people who lived in cliff dwellings and caves
	*Diane Monico	Xiaoxiao	female	1. Participant in the archaeological expedition to Arizona in 1895, listed as one of the producers of the work
	*Gila river	Jessica	*female	4. River whose delta region contains ruins that are connected to Tusayan people
	*Havasupai Indians	Aoede	*female	4. Indigenous people of Cataract canyon who are regarded as descendants of former inhabitants of cliff houses
	*Holbrook	Gongitsune	*female	4. Arizona town south of Walpi where ruins were found with black-and-white pottery
	*Hopi	Xiaobei	*female	4. Indigenous people who inhabit Tusayan and claim to be descendants of ancient cliff house dwellers | 5. Indigenous people who claim ancestral connection to the Verde valley ruins and recognize kinship with Patki people
	*Hopi clans	Jessica	*female	4. Groups of people who claim ancestral connection to southern ruins and are connected to modern Hopi
	*Kinnazinde	Heart	*female	4. Ruins located near Kintiel in Arizona
	*Mogollon mountains	Tebukuro	*female	4. Mountain range in southern Arizona where ruins were found that may be connected with early Hopi migrations
	*Moki or Hopi Indians	Alloy	*female	4. Agricultural people who inhabit Tusayan and claim to be descendants of ancient cliff house dwellers
	*Moquinos	Beta	*female	4. People whose great pueblos were compared to those discovered by Leroux
	*Mrs Hodge	Bella	*female	3. Wife of F. W. Hodge who created faithful colored drawings of the pottery specimens uncovered from Tusayan sands
	*Oak creek canyon	Nova	*female	4. Canyon where a cliff house of several hundred rooms was discovered
	*Old Camp Verde	Xiaoyi	*female	4. Location in Verde valley where great ruins were found
	*Patki or Water-house phratry	Sara	*female	4. Hopi social group whose traditionists claim ancestors came from Palatkwabi
	*Prescott	Emma	*female	4. Location where Hopi delegates asked to be removed to Tonto Basin in the 1860s-70s
	*Pueblo Indians	Beta	*female	4. Modern indigenous people who are descendants of ancient cliff house dwellers
	*Saint Johns	Lily	*female	4. Arizona town where ruins of considerable size are located
	*Salt river	Isabella	*female	4. River that flows through Arizona and connects with Rio Verde
	*San Francisco mountains	River	*female	4. Mountain range where ruins were found by Sitgreaves, Bickford, Powell and Stevenson
	*Spanish narrators	Xiaoyi	*female	4. Historical writers who documented early Spanish accounts of Tusayan
	*Squaw mountain	Sky	*female	4. Mountain near which cavate dwellings were found in Verde valley
	*Tonto Basin	Xiaoni	*female	4. Geographic region where Hopi clans may have originated, mentioned in historical context
	*Totonteac	Siwis	*female	4. Historical province mentioned in Spanish narratives, possibly the same as Tusayan
	*Tusayan clans	Isabella	*female	4. Groups of people who inhabited Tusayan region and are connected to modern Hopi
	*Tusayan people	Sarah	*female	4. Ancient inhabitants of Tusayan region whose descendants are the modern Hopi and other Pueblo peoples
	*Winslow	Nezumi	*female	4. Arizona town near which Homolobi ruins are located
	*Zuñi	Alice	*female	4. People whose ruins were explored by Captain Sitgreaves in 1852 | 5. Indigenous people who may have received ancestral immigrants from the southern cliff dwellers and share cultural similarities with Hopi
